Municipio,Hoy 17/07,18/07,19/07,20/07,21/07,22/07,23/07
A Pontenova (Lugo),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Moderado
A Rúa (Ourense),Bajo,Moderado,Moderado,Alto,Muy alto,Extremo,Extremo
A Teixeira (Ourense),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
A Veiga (Ourense),Bajo,Moderado,Moderado,Alto,Muy alto,Extremo,Extremo
Ababuj (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Abades (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Abadiño (Vizcaya),Alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Abadía (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Abadín (Lugo),Muy bajo,Muy bajo,Muy bajo,Bajo,Moderado,Moderado,Moderado
Abajas (Burgos),Bajo,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Abaltzisketa (Guipúzcoa),Moderado,Moderado,Moderado,Muy alto,Extremo,Extremo,Extremo
Abanilla (Murcia),Extremo,Muy alto,Muy alto,Muy alto,Moderado,Moderado,Alto
Abanto (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
Abanto y Ciérvana-Abanto Zierbena (Vizcaya),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Abarca de Campos (Palencia),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Abarán (Murcia),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto
Abaurregaina/Abaurrea Alta (Navarra),Moderado,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Abaurrepea/Abaurrea Baja (Navarra),Moderado,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Abegondo (A Coruña),Bajo,Bajo,Bajo,Moderado,Muy alto,Muy alto,Muy alto
Abejar (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Abejuela (Teruel),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Abella de la Conca (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Abengibre (Albacete),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Abenójar (Ciudad Real),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Aberin (Navarra),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Abertura (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Abezames (Zamora),Alto,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Abia de la Obispalía (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Abia de las Torres (Palencia),Moderado,Alto,Alto,Muy alto,Extremo,Muy alto,Muy alto
Abiego (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Abizanda (Huesca),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Abla (Almería),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Ablanque (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Ablitas (Navarra),Alto,Moderado,Moderado,Moderado,Extremo,Muy alto,Extremo
Abrera (Barcelona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy bajo,Muy bajo
Abrucena (Almería),Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo
Abusejo (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo,Muy alto
Abáigar (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Abánades (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Abárzuza/Abartzuza (Navarra),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo
Acebedo (León),Bajo,Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto
Acebo (Cáceres),Alto,Alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Acedera (Badajoz),Muy alto,Muy alto,Muy alto,Moderado,Moderado,Muy alto,Extremo
Acehúche (Cáceres),Alto,Muy alto,Muy alto,Muy alto,Alto,Extremo,Extremo
Aceituna (Cáceres),Moderado,Alto,Alto,Muy alto,Alto,Extremo,Extremo
Acered (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Aceuchal (Badajoz),Moderado,Alto,Moderado,Moderado,Moderado,Moderado,Extremo
Adahuesca (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Adalia (Valladolid),Alto,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Adamuz (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Adanero (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Adeje (Tenerife),Muy alto,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Ademuz (Valencia),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Adiós (Navarra),Alto,Alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Adobes (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Ador (Valencia),Moderado,Moderado,Moderado,Moderado,Bajo,Bajo,Moderado
Adra (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Alto
Adrada de Haza (Burgos),Muy alto,Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo
Adrada de Pirón (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Adradas (Soria),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Adrados (Segovia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aduna (Guipúzcoa),Moderado,Moderado,Alto,Extremo,Extremo,Extremo,Extremo
Agaete (Las Palmas),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Agallas (Salamanca),Moderado,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Agolada (Pontevedra),Muy bajo,Bajo,Bajo,Moderado,Moderado,Alto,Alto
Agoncillo (La Rioja),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Agost (Alicante),Muy alto,Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado
Agramunt (Lleida),Extremo,Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo
Agres (Alicante),Muy alto,Alto,Moderado,Alto,Moderado,Moderado,Moderado
Agrón (Granada),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Aguadulce (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Aguarón (Zaragoza),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Aguas Cándidas (Burgos),Bajo,Bajo,Moderado,Alto,Muy alto,Muy alto,Muy alto
Aguasal (Valladolid),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aguatón (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Aguaviva (Teruel),Muy alto,Alto,Alto,Alto,Muy alto,Muy alto,Extremo
Agudo (Ciudad Real),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Aguilafuente (Segovia),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aguilar de Bureba (Burgos),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Aguilar de Campoo (Palencia),Bajo,Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto
Aguilar de Campos (Valladolid),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Aguilar de Codés (Navarra),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Aguilar de Segarra (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aguilar de la Frontera (Córdoba),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Aguilar del Alfambra (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aguilar del Río Alhama (La Rioja),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Aguilón (Zaragoza),Muy alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Agullana (Girona),Moderado,Moderado,Moderado,Muy alto,Extremo,Muy alto,Extremo
Agullent (Valencia),Muy alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Agulo (Tenerife),Bajo,Bajo,Moderado,Bajo,Bajo,Moderado,Bajo
Agurain/Salvatierra (Álava),Moderado,Moderado,Alto,Muy alto,Extremo,Extremo,Muy alto
Agón (Zaragoza),Alto,Moderado,Moderado,Moderado,Extremo,Alto,Extremo
Agüero (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Agüimes (Las Palmas),Muy alto,Alto,Alto,Muy alto,Moderado,Muy alto,Muy alto
Ahigal (Cáceres),Alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Ahigal de Villarino (Salamanca),Alto,Moderado,Alto,Muy alto,Muy alto,Extremo,Muy alto
Ahigal de los Aceiteros (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Ahillones (Badajoz),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Aia (Guipúzcoa),Muy alto,Alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Aibar/Oibar (Navarra),Muy alto,Alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Aielo de Malferit (Valencia),Muy alto,Moderado,Alto,Moderado,Bajo,Moderado,Moderado
Aielo de Rugat (Valencia),Alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Aiguafreda (Barcelona),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Aiguamúrcia (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo
Aiguaviva (Girona),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Aigües (Alicante),Alto,Alto,Moderado,Moderado,Alto,Moderado,Moderado
Ainzón (Zaragoza),Muy alto,Alto,Alto,Alto,Extremo,Muy alto,Extremo
Aisa (Huesca),Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Aitona (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto,Extremo
Aizarnazabal (Guipúzcoa),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Ajalvir (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Ajamil de Cameros (La Rioja),Moderado,Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Ajangiz (Vizcaya),Muy alto,Moderado,Muy alto,Extremo,Extremo,Extremo,Extremo
Ajofrín (Toledo),Muy alto,Extremo,Extremo,Muy alto,Muy alto,Extremo,Extremo
Alacant/Alicante (Alicante),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alacón (Teruel),Moderado,Moderado,Alto,Alto,Muy alto,Muy alto,Extremo
Aladrén (Zaragoza),Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Alaejos (Valladolid),Moderado,Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alagón (Zaragoza),Alto,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Alagón del Río (Cáceres),Alto,Muy alto,Alto,Muy alto,Alto,Extremo,Extremo
Alaior (Baleares),Moderado,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Alajeró (Tenerife),Moderado,Bajo,Moderado,Moderado,Moderado,Moderado,Moderado
Alameda (Málaga),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alameda de la Sagra (Toledo),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alameda del Valle (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alamedilla (Granada),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Alamillo (Ciudad Real),Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alaminos (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Alange (Badajoz),Alto,Muy alto,Muy alto,Alto,Moderado,Muy alto,Extremo
Alanís (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alaquàs (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alar del Rey (Palencia),Bajo,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Alaraz (Salamanca),Muy alto,Muy alto,Extremo,Muy alto,Muy alto,Extremo,Extremo
Alarba (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alarcón (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alarilla (Guadalajara),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Muy alto
Alaró (Baleares),Moderado,Alto,Moderado,Muy alto,Muy alto,Muy alto,Muy alto
Alatoz (Albacete),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Alba (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo
Alba de Cerrato (Palencia),Alto,Alto,Muy alto,Muy alto,Alto,Extremo,Muy alto
Alba de Tormes (Salamanca),Muy alto,Extremo,Extremo,Extremo,Muy alto,Extremo,Muy alto
Alba de Yeltes (Salamanca),Moderado,Moderado,Moderado,Muy alto,Muy alto,Extremo,Muy alto
Albacete (Albacete),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Albaida (Valencia),Muy alto,Moderado,Moderado,Moderado,Bajo,Moderado,Moderado
Albaida del Aljarafe (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Albal (Valencia),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Alto
Albaladejo (Ciudad Real),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albaladejo del Cuende (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albalat de la Ribera (Valencia),Moderado,Bajo,Moderado,Moderado,Moderado,Moderado,Moderado
Albalat dels Sorells (Valencia),Muy bajo,Moderado,Alto,Alto,Muy alto,Alto,Muy bajo
Albalat dels Tarongers (Valencia),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Albalate de Cinca (Huesca),Alto,Muy alto,Alto,Muy alto,Alto,Muy alto,Muy alto
Albalate de Zorita (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Albalate de las Nogueras (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albalate del Arzobispo (Teruel),Moderado,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Albalatillo (Huesca),Muy alto,Moderado,Moderado,Moderado,Moderado,Moderado,Extremo
Albalá (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Albanchez (Almería),Extremo,Extremo,Muy alto,Extremo,Muy alto,Muy alto,Extremo
Albanchez de Mágina (Jaén),Alto,Alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Albanyà (Girona),Muy alto,Moderado,Muy alto,Muy alto,Extremo,Extremo,Extremo
Albares (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albarracín (Teruel),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albarreal de Tajo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Albatana (Albacete),Muy alto,Extremo,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Albatera (Alicante),Extremo,Muy alto,Muy alto,Alto,Moderado,Moderado,Alto
Albatàrrec (Lleida),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Albelda (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Albelda de Iregua (La Rioja),Alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Muy alto
Albendea (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albendiego (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Albentosa (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Alto,Muy alto
Alberic (Valencia),Muy bajo,Muy bajo,Moderado,Muy bajo,Muy bajo,Moderado,Muy bajo
Alberite (La Rioja),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Alberite de San Juan (Zaragoza),Alto,Moderado,Moderado,Moderado,Extremo,Muy alto,Extremo
Albero Alto (Huesca),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Extremo
Albero Bajo (Huesca),Muy alto,Alto,Moderado,Alto,Alto,Alto,Extremo
Alberuela de Tubo (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Extremo
Albesa (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Muy alto
Albeta (Zaragoza),Muy alto,Moderado,Moderado,Alto,Extremo,Muy alto,Extremo
Albillos (Burgos),Moderado,Muy alto,Alto,Muy alto,Extremo,Muy alto,Extremo
Albinyana (Tarragona),Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Albiztur (Guipúzcoa),Moderado,Moderado,Moderado,Extremo,Extremo,Extremo,Extremo
Albocàsser (Castellón),Muy alto,Alto,Alto,Alto,Muy alto,Alto,Muy alto
Alboloduy (Almería),Extremo,Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo
Albolote (Granada),Extremo,Extremo,Extremo,Muy alto,Extremo,Extremo,Extremo
Albondón (Granada),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Albons (Girona),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alborache (Valencia),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alboraia/Alboraya (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alborea (Albacete),Extremo,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Alborge (Zaragoza),Muy alto,Moderado,Moderado,Moderado,Alto,Moderado,Extremo
Albornos (Ávila),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Albox (Almería),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto
Albudeite (Murcia),Extremo,Extremo,Muy alto,Extremo,Extremo,Muy alto,Muy alto
Albuixech (Valencia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alburquerque (Badajoz),Moderado,Muy alto,Moderado,Muy alto,Muy alto,Extremo,Extremo
Albuñol (Granada),Extremo,Muy alto,Extremo,Muy alto,Muy alto,Muy alto,Muy alto
Albuñuelas (Granada),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Albuñán (Granada),Alto,Moderado,Moderado,Moderado,Moderado,Moderado,Extremo
Alcabón (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcadozo (Albacete),Extremo,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alcaine (Teruel),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo
Alcalalí (Alicante),Moderado,Moderado,Moderado,Moderado,Moderado,Moderado,Moderado
Alcalà de Xivert (Castellón),Moderado,Alto,Alto,Muy alto,Extremo,Alto,Muy alto
Alcalá de Ebro (Zaragoza),Moderado,Moderado,Moderado,Moderado,Muy alto,Moderado,Extremo
Alcalá de Guadaíra (Sevilla),Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alcalá de Gurrea (Huesca),Alto,Moderado,Moderado,Alto,Muy alto,Alto,Extremo
Alcalá de Henares (Madrid),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcalá de Moncayo (Zaragoza),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo
Alcalá de la Selva (Teruel),Extremo,Extremo,Extremo,Extremo,Muy alto,Muy alto,Extremo
Alcalá de la Vega (Cuenca),Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo,Extremo
Alcalá de los Gazules (Cádiz),Alto,Alto,Muy alto,Alto,Moderado,Moderado,Muy alto
Alcalá del Júcar (Albacete),Extremo,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Alcalá del Obispo (Huesca),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Alcalá del Río (Sevilla),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcalá del Valle (Cádiz),Muy alto,Muy alto,Muy alto,Muy alto,Alto,Muy alto,Extremo
Alcalá la Real (Jaén),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcampell (Huesca),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcanadre (La Rioja),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Muy alto,Extremo
Alcanar (Tarragona),Moderado,Moderado,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alcantarilla (Murcia),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alcantud (Cuenca),Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo,Muy alto
Alcanó (Lleida),Muy alto,Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo
Alcaracejos (Córdoba),Moderado,Alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Alcaraz (Albacete),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcarràs (Lleida),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alcaucín (Málaga),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcaudete (Jaén),Alto,Alto,Alto,Alto,Muy alto,Muy alto,Muy alto
Alcaudete de la Jara (Toledo),Muy alto,Muy alto,Alto,Muy alto,Muy alto,Extremo,Extremo
Alcazarén (Valladolid),Moderado,Alto,Alto,Alto,Alto,Muy alto,Muy alto
Alcañices (Zamora),Alto,Moderado,Moderado,Moderado,Muy alto,Muy alto,Muy alto
Alcañiz (Teruel),Alto,Moderado,Moderado,Alto,Alto,Moderado,Extremo
Alcañizo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcoba (Ciudad Real),Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo,Extremo
Alcobendas (Madrid),Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo,Muy bajo
Alcocer (Guadalajara),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcocero de Mola (Burgos),Moderado,Moderado,Moderado,Alto,Muy alto,Muy alto,Muy alto
Alcohujate (Cuenca),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcoi/Alcoy (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Muy alto,Alto
Alcolea (Almería),Extremo,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcolea de Calatrava (Ciudad Real),Muy alto,Extremo,Extremo,Extremo,Extremo,Extremo,Extremo
Alcolea de Cinca (Huesca),Moderado,Alto,Alto,Muy alto,Alto,Muy alto,Muy alto
Alcolea de Tajo (Toledo),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alcolea de las Peñas (Guadalajara),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Moderado
Alcolea del Pinar (Guadalajara),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Muy alto
Alcolea del Río (Sevilla),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Alcoleja (Alicante),Muy alto,Muy alto,Muy alto,Muy alto,Moderado,Moderado,Moderado
Alcoletge (Lleida),Extremo,Muy alto,Extremo,Muy alto,Extremo,Extremo,Extremo
Alcollarín (Cáceres),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Extremo
Alconaba (Soria),Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto
Alconada (Salamanca),Alto,Muy alto,Muy alto,Muy alto,Muy alto,Extremo,Muy alto
Alconada de Maderuelo (Segovia),Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Extremo,Extremo
Alconchel (Badajoz),Moderado,Moderado,Moderado,Moderado,Moderado,Muy alto,Extremo
Alconchel de Ariza (Zaragoza),Extremo,Muy alto,Muy alto,Muy alto,Extremo,Muy alto,Muy alto
